period,relative_time,treated_mean,synthetic_control,synthetic_control_adjusted,gap,treatment_group
2023-10-01,-8,4.609878101993798,4.572907012348663,4.5853900774615814,0.02448802453221699,mixed_livestock
2023-11-01,-7,4.548461701696678,4.6025292890089515,4.61501235412187,-0.06655065242519154,mixed_livestock
2023-12-01,-6,4.573686662060484,4.529993253643696,4.542476318756615,0.031210343303869514,mixed_livestock
2024-01-01,-5,4.408272162461689,4.420251353635918,4.4327344187488364,-0.02446225628714771,mixed_livestock
2024-02-01,-4,4.543392701267903,4.477020836184809,4.489503901297727,0.05388879997017604,mixed_livestock
2024-03-01,-3,4.247725087611471,4.296259462512118,4.308742527625037,-0.06101744001356568,mixed_livestock
2024-04-01,-2,4.402306161434314,4.4538925068936495,4.466375572006568,-0.06406941057225346,mixed_livestock
2024-05-01,-1,4.515810350404109,4.488513410674691,4.500996475787609,0.0148138746165003,mixed_livestock
2024-07-01,1,4.325314864333762,4.5600156520525355,4.572498717165454,-0.2471838528316912,mixed_livestock
2024-08-01,2,4.417650056688316,4.431527437431365,4.444010502544283,-0.026360445855966752,mixed_livestock
2024-09-01,3,4.358506700397677,4.776382457831119,4.788865522944037,-0.43035882254635993,mixed_livestock
2024-10-01,4,4.532168410621917,4.5997215794544015,4.61220464456732,-0.08003623394540238,mixed_livestock
2024-11-01,5,4.646009584214559,4.55092079078946,4.563403855902378,0.08260572831218038,mixed_livestock
2024-12-01,6,4.559007143927172,4.571617745083428,4.584100810196346,-0.025093666269174086,mixed_livestock
2025-01-01,7,4.397809539016843,4.612649358853137,4.625132423966055,-0.2273228849492117,mixed_livestock
2025-02-01,8,4.526547886558524,4.576539456349415,4.589022521462333,-0.06247463490380856,mixed_livestock
2025-03-01,9,4.521515570263751,4.489459668379021,4.501942733491939,0.019572836771811986,mixed_livestock
2025-04-01,10,4.531075420211902,4.472757339213413,4.485240404326331,0.04583501588557137,mixed_livestock
2025-05-01,11,4.667750990954156,4.5347254379504225,4.547208503063341,0.12054248789081523,mixed_livestock
2025-06-01,12,4.898430017402427,4.521150165100568,4.5336332302134865,0.3647967871889408,mixed_livestock
2025-07-01,13,4.57835517723441,4.5019214765589,4.514404541671818,0.06395063556259206,mixed_livestock
2025-08-01,14,4.480313368495052,4.525471358100857,4.537954423213775,-0.05764105471872316,mixed_livestock
2025-09-01,15,4.626228062554159,4.510772282326342,4.52325534743926,0.10297271511489914,mixed_livestock
2025-10-01,16,4.680729423334935,4.486987458381831,4.499470523494749,0.18125889984018517,mixed_livestock
2025-11-01,17,4.5622705394227765,4.5110812189881715,4.52356428410109,0.03870625532168681,mixed_livestock
2025-12-01,18,4.664199884524153,4.482986467935117,4.495469533048035,0.1687303514761176,mixed_livestock
2026-01-01,19,4.52692231136404,4.586737475343583,4.599220540456501,-0.07229822909246053,mixed_livestock
2026-02-01,20,4.577001864988303,4.5743961800248565,4.586879245137775,-0.009877380149471371,mixed_livestock
2026-03-01,21,4.593465482919839,4.566328471968673,4.578811537081592,0.01465394583824775,mixed_livestock
2026-04-01,22,4.490308184861047,4.575683235966443,4.588166301079362,-0.09785811621831453,mixed_livestock
2026-05-01,23,4.375292091649427,4.590745817460482,4.6032288825734,-0.22793679092397312,mixed_livestock
2026-06-01,24,4.662393646715586,4.529864476165402,4.54234754127832,0.12004610543726546,mixed_livestock
