period,relative_time,treated_mean,synthetic_control,synthetic_control_adjusted,gap,treatment_group
2023-10-01,-8,4.708531983713389,4.620828585058924,4.624418474503975,0.08411350920941363,pork
2023-11-01,-7,4.538435155963142,4.57119466169716,4.574784551142211,-0.03634939517906943,pork
2023-12-01,-6,4.46906894913506,4.481406948298634,4.484996837743685,-0.015927888608624485,pork
2024-01-01,-5,4.5296014389081884,4.540425123247485,4.544015012692536,-0.014413573784347378,pork
2024-02-01,-4,4.417462530458975,4.554072040751083,4.557661930196134,-0.1401993997371589,pork
2024-03-01,-3,4.449823470653063,4.403963560038104,4.407553449483155,0.042270021169907857,pork
2024-04-01,-2,4.583888350809124,4.532738381936416,4.536328271381467,0.047560079427657165,pork
2024-05-01,-1,4.5927080418622435,4.567040322038072,4.570630211483123,0.022077830379120478,pork
2024-07-01,1,4.508891927011464,4.540962538968584,4.544552428413635,-0.035660501402170475,pork
2024-08-01,2,4.472067329666796,4.46799632977695,4.471586219222001,0.000481110444795263,pork
2024-09-01,3,4.4258329078283545,4.715542372565526,4.719132262010577,-0.2932993541822224,pork
2024-10-01,4,4.550119287059118,4.5792445952272685,4.582834484672319,-0.032715197613200964,pork
2024-11-01,5,4.365716737605108,4.537151198619064,4.540741088064115,-0.17502435045900722,pork
2024-12-01,6,4.455239698862393,4.514658741240503,4.518248630685553,-0.06300893182316081,pork
2025-01-01,7,4.574680836481104,4.624111558457412,4.627701447902463,-0.05302061142135894,pork
2025-02-01,8,4.621809077107886,4.625311694489814,4.628901583934865,-0.007092506826978706,pork
2025-03-01,9,4.3821684808455785,4.523504635979331,4.527094525424382,-0.14492604457880365,pork
2025-04-01,10,4.489739103981488,4.531918994645857,4.535508884090908,-0.045769780109420566,pork
2025-05-01,11,4.637815015863706,4.554777063228472,4.558366952673523,0.07944806319018305,pork
2025-06-01,12,4.565543702046502,4.522932458170696,4.526522347615747,0.03902135443075494,pork
2025-07-01,13,4.621438216829844,4.534309230584174,4.537899120029225,0.0835390968006191,pork
2025-08-01,14,4.719591639513954,4.52911956648331,4.5327094559283605,0.1868821835855936,pork
2025-09-01,15,4.588087240511926,4.472183741556909,4.475773631001959,0.11231360950996638,pork
2025-10-01,16,4.626763249205129,4.546629423329633,4.550219312774684,0.07654393643044521,pork
2025-11-01,17,4.535165442426207,4.574297390092688,4.577887279537739,-0.042721837111532324,pork
2025-12-01,18,4.476307105211989,4.587395183222249,4.5909850726673,-0.11467796745531089,pork
2026-01-01,19,4.63865725317924,4.5777611913573955,4.581351080802446,0.05730617237679336,pork
2026-02-01,20,4.592234767086428,4.567473657921996,4.5710635473670465,0.021171219719381185,pork
2026-03-01,21,4.537054404634228,4.536033423762343,4.539623313207394,-0.002568908573166162,pork
2026-04-01,22,4.566927361109782,4.530561432565331,4.5341513220103815,0.0327760390994003,pork
2026-05-01,23,4.5044749633708765,4.527798974680641,4.531388864125692,-0.026913900754815145,pork
2026-06-01,24,4.619584980283969,4.550522354686256,4.554112244131307,0.06547273615266214,pork
