term,estimate,std_error,conf_low,conf_high,t_stat,p_value,relative_time,pre_period
-8,-0.133307764590485,0.19508233206195116,-0.5156691354319093,0.2490536062509393,-0.6833410446833864,0.49439136403071005,-8,True
-7,-0.38312615124779204,0.11014070543826825,-0.5990019339067978,-0.16725036858878628,-3.4785155018144214,0.0005041992744829131,-7,True
-6,0.030736732079756912,0.1268384097569763,-0.21786655104391664,0.27934001520343044,0.24232984423763124,0.8085245904414526,-6,True
-5,-0.17630132376500252,0.10029181894525085,-0.3728732888976942,0.020270641367689163,-1.757883400850922,0.0787673507289281,-5,True
-4,-0.20097465010472193,0.12646191275887297,-0.4488399991121129,0.04689069890266909,-1.5892108993157776,0.1120127865842335,-4,True
-3,-0.1858217157559513,0.11655682239665566,-0.4142730876533964,0.04262965614149378,-1.5942585936632658,0.11087812766046416,-3,True
-2,-0.2848509342023945,0.11251749142535114,-0.5053852173960827,-0.06431665100870626,-2.5316146902490857,0.011353867956339851,-2,True
1,-0.21098504207424884,0.14848310812267956,-0.5020119339947008,0.0800418498462031,-1.4209363256319298,0.15533527137650852,1,False
2,-0.2907291757026862,0.13626223799861467,-0.557803162179971,-0.02365518922540144,-2.133600474884626,0.03287549908632372,2,False
3,-0.34294873852554386,0.22793644612919126,-0.7897041729387587,0.103806695887671,-1.50458052825464,0.13243195549263634,3,False
4,-0.34669478354153493,0.16317283445568218,-0.6665135390746719,-0.02687602800839789,-2.1247089608883236,0.033610905284667134,4,False
5,0.1397337541395458,0.2060825144441984,-0.26418797417108303,0.5436554824501747,0.6780475991202153,0.4977415136586608,5,False
6,-0.05691738216789066,0.22531633102316756,-0.4985373909732991,0.38470262663751775,-0.2526109932175235,0.8005688341298132,6,False
7,0.03457129954079219,0.21864897226042973,-0.3939806860896501,0.46312328517123447,0.158113249668582,0.8743675602176586,7,False
8,0.09931937835379911,0.2316562597980063,-0.35472689085029324,0.5533656475578914,0.42873600066063866,0.66811535836679,8,False
9,0.042831260620807776,0.21460830205765705,-0.3778010114122,0.46346353265381557,0.19957876843599767,0.8418100340406033,9,False
10,0.19010107182996783,0.22553901765441728,-0.25195540277269,0.6321575464326257,0.8428744339094829,0.39929867335449837,10,False
11,0.02711663269574971,0.2320843567776483,-0.42776870658844096,0.4820019719799404,0.11683955382537559,0.9069871989761504,11,False
12,0.27220159518738907,0.22720932745025174,-0.17312868661510433,0.7175318769898824,1.1980212178876704,0.2309087568686759,12,False
13,-0.05518772087535939,0.25457976101524604,-0.5541640524652416,0.44378861071452286,-0.21677968686620913,0.8283800430755477,13,False
14,0.1562060360399432,0.23670289566585243,-0.30773163946512755,0.6201437115450139,0.6599244829706493,0.5093022919129073,14,False
15,0.05110469881264934,0.2200791382572235,-0.38025041217150873,0.4824598097968074,0.23221055488194128,0.8163744801883924,15,False
16,0.08461143006082894,0.2211887559098616,-0.34891853152249974,0.5181413916441576,0.38253043068477505,0.7020679616157335,16,False
17,-0.10724655362104052,0.1898274450045756,-0.4793083458300087,0.26481523858792766,-0.5649686409594538,0.5720950940322229,17,False
18,0.09544797947056616,0.23285382555111842,-0.3609455186096259,0.5518414775507583,0.4099051378892311,0.6818755362631856,18,False
19,0.0691056327279862,0.23204637356070174,-0.3857052594509892,0.5239165249069616,0.2978095786095474,0.7658485034271483,19,False
20,0.18898198000586008,0.22823064436751345,-0.25835008295446626,0.6363140429661864,0.828030699074519,0.4076531143961711,20,False
21,0.1751558794208311,0.22762845333256082,-0.2709958891109881,0.6213076479526503,0.7694814811438871,0.44160753402797265,21,False
22,0.11109649165371427,0.23293162807212794,-0.3454494993676565,0.567642482675085,0.4769489337846079,0.6333984856449326,22,False
23,0.3014538643644711,0.23266309038741917,-0.15456579279487048,0.7574735215238126,1.2956668969818328,0.19509027074922652,23,False
24,0.38226506453508147,0.2291320681965531,-0.06683378913016258,0.8313639182003255,1.6683176106417739,0.09525269380857895,24,False
