period,relative_time,treated_mean,synthetic_control,synthetic_control_adjusted,gap
2023-10-01,-8,4.518266637999125,4.629752445615271,4.6066348610686,-0.0883682230694749
2023-11-01,-7,4.647669061618694,4.676512822752454,4.653395238205784,-0.0057261765870899595
2023-12-01,-6,4.656245887576353,4.577716485566575,4.554598901019904,0.10164698655644866
2024-01-01,-5,4.478846559980263,4.495557372451119,4.472439787904448,0.0064067720758149704
2024-02-01,-4,4.511165972737091,4.551881638002713,4.528764053456042,-0.01759808071895108
2024-03-01,-3,4.562218547501025,4.395440246286732,4.3723226617400615,0.18989588576096317
2024-04-01,-2,4.5044638939265065,4.529172871746246,4.506055287199575,-0.0015913932730686753
2024-05-01,-1,4.56152835321848,4.575155742284329,4.552038157737658,0.009490195480822194
2024-07-01,1,4.663361013383876,4.603071366484556,4.579953781937886,0.0834072314459906
2024-08-01,2,4.565622719730266,4.4954921931846235,4.472374608637953,0.09324811109231312
2024-09-01,3,4.6373126311761,4.772831495364416,4.7497139108177455,-0.11240127964164515
2024-10-01,4,4.652584811531155,4.647764713994063,4.624647129447393,0.02793768208376246
2024-11-01,5,4.566071695528302,4.6011294170864065,4.578011832539736,-0.01194013701143426
2024-12-01,6,4.577543387290026,4.613769711914545,4.590652127367874,-0.013108740077847791
2025-01-01,7,4.538197042342048,4.643086603519912,4.619969018973241,-0.08177197663119262
2025-02-01,8,4.5704773371904635,4.640951390229558,4.617833805682888,-0.04735646849242414
2025-03-01,9,4.553917436515754,4.548969261034344,4.525851676487673,0.028065760028081144
2025-04-01,10,4.668574700178709,4.543521890439484,4.520404305892813,0.14817039428589585
2025-05-01,11,4.715235471048599,4.59626994278691,4.57315235824024,0.1420831128083595
2025-06-01,12,4.732343568231593,4.571165384352126,4.548047799805455,0.18429576842613749
2025-07-01,13,4.762244351540052,4.572330115819098,4.549212531272428,0.21303182026762446
2025-08-01,14,4.6867197722181775,4.569831300424507,4.546713715877837,0.1400060563403409
2025-09-01,15,4.649498223365289,4.544602635353861,4.521485050807191,0.12801317255809863
2025-10-01,16,4.491329851126645,4.556393803385431,4.53327621883876,-0.04194636771211524
2025-11-01,17,4.592152584873628,4.5671113747691034,4.543993790222433,0.048158794651195436
2025-12-01,18,4.645470424695726,4.581535051944549,4.558417467397878,0.08705295729784801
2026-01-01,19,4.568714485328529,4.626225686327423,4.6031081017807525,-0.034393616452223164
2026-02-01,20,4.595238190371872,4.638368462265526,4.6152508777188554,-0.02001268734698325
2026-03-01,21,4.629693857565594,4.614174584381766,4.591056999835096,0.03863685773049852
2026-04-01,22,4.698143266049606,4.623241751575788,4.600124167029118,0.09801909902048855
2026-05-01,23,4.5683016024279395,4.616901367582916,4.593783783036245,-0.025482180608305427
2026-06-01,24,4.72643529531941,4.615606832825691,4.59248924827902,0.13394604704039015
